title,category,lyrics,Mood
জ​ড়োয়ার ঝুমকো তে কি রূপ খোলে,আধুনিক,"জড়োয়ার ঝুমকো তে কি রুপ খোলে গো
রুপ খোলে কি কাঁকন চুঁড়ির কন্ঠ হারে।
বসন্তকে কোন জড়োয়ার কে সাজাবে
নদীরে গান কোন বাঁশিতে কে বাজাবে
চন্দ্রিমারে কে পড়াবে অলংকারে।
নিজের কাছে নিজেই তুমি প্রশ্ন করো
হ্রিদয় তোমার কোন কামনায় থরথর
আকুল তোমার তৃষ্ণা ডাকে কোন আমারে।।",বেদনা
তোমার মনে ফুটবে যবে,নজরুল গীতি,"তোমার মনে ফুটবে যবে প্রথম মুকুল।
প্রিয় হে প্রিয় আমারে দিও সে প্রেমের মুকুল।।
দীরঘ বরষ মাস তাহারি আশে
জাগিয়া রব তব দুয়ার-পাশে,
বহিবে কবে ফুল-ফুটানো
দখিনা বাতাস অনুকূল।।
আর কারে দাও যদি আমার সে ধ্যানের কুসুম
ক্ষতি নাই ওগো প্রিয় ভাঙুক এ অকরুণ ঘুম।
গুঞ্জরি’ গুঞ্জরি’ ভ্রমর সম
কাঁদিব তোমারে ঘিরি’ প্রিয়তম
হুতাস বাতাস সম কুসুম ফুটায়ে
চলে যাব দূরে বেভুল।।",আনন্দ
প্রিয় কোথায় তুমি কোন গহনে,নজরুল গীতি,"প্রিয় কোথায় তুমি কোন গহনে
কোন ধ্রুবলোকে কোন দূর গগনে।।
খোঁজে কানন তোমায় মেলি’ কুসুম-আঁখি,
‘তুমি কোথায়’ বলি’ ডাকে বনের পাখি।
আছ ঠকুর হয়ে কোন দেবালয়ে
কোন শ্রাবন-মেঘে দখিনা পবনে।।
সিন্ধু-বুকে মুখে লুকায়ে নদী
‘তুমি কোথায়’ বলি’ কাঁদে নিরবধি।
জ্বালি’ তারার বাতি খোঁজে আঁধার রাতি,
তোমায় খুঁজিয়া নিভিল জ্যোতি মোর নয়নে।।",বেদনা
এসো বঁধু ফিরে এসো ভোল ভোল অভিমান,নজরুল গীতি,"এসো বঁধু ফিরে এসো, ভোলো ভোলো অভিমান।
দিব ও চরণে ডালি মোর তনু-মন-প্রাণ॥
জানি আমি অপরাধী তাই দিবানিশি কাঁদি,
নিমিষের অপরাধের কবে হবে অবসান॥
ফিরে গেলে দ্বারে আসি বাসি কিনা ভালোবাসি,
কাঁদে আজ তব দাসী, তুমি তার হৃদে ধ্যান॥
ফিরিয়া আসিয়া হেথা দিয়ো দুখ দিয়ো ব্যথা,
সহে না এ নীরবতা হে দেবতা পাষাণ॥",বেদনা
মোরে ডেকে লও সেই দেশে,নজরুল গীতি,"মোরে ডেকে লও সেই দেশে প্রিয় যে দেশে তুমি থাক।
মোর কি কাজ জীবনে বঁধূ যদি তুমি কাছে নাহি ডাক।। 
এই পৃথিবীর হাসি গান
বঁধূ সব হয়ে যায় ম্লান,
মধু-মাধবী রাসের তিথি হায় ! মাধব এলে নাকো।।
এত আত্মীয় প্রিয়জন মোর কিছু নাহি ভাল লাগে,
ভীড় রহে না প্রেমের নীড়ে সেথা দুটি পাখি শুধু জাগে।
ফুল তুলিয়া পূজার তরে
কেন ফেলে রাখ হেলা ভরে
তার মরণের আগে বঁধূ শুধু বারেক চরণে রাখ।।",বেদনা
আমি তোর পীড়িতের মরা,বাউল,"আমি তোর পীড়িতের মরা
আমি তোর পীড়িতের মরা বন্ধু
চাইয়া দেখনা এক নজর বন্ধুরে
অপরাধী হলেও আমি তোর
তোররে বন্ধু
অপরাধী হলেও আমি তোর
আমায় যদি দাও তাড়াইয়া
এমন জায়গা নাইরে গিয়া
এ অভাগার জুড়াইতাম অন্তর
তুমি যদি ঘৃণা রাখো
আমি তোরে করিনা পর
কত দুঃখ আমার বুকে
দেখতে আসে পাড়ার লোকে
তোর কি নাই কলঙ্কেরই ডর
আমি যদি যাই মরিয়া
কে করবে তোরে আদর",বেদনা
মানুষ ধরো মানুষ ভজ শোন বলিরে পাগল মন,বাউল,"মানুষ ধরো মানুষ ভজ শোন বলিরে পাগল মন।
মানুষের ভিতরে মানুষ করিতেছে বিরাজন।
মানুষ কি আর এমনি বটে যার চরণে জগৎ লুটে
এই না পঞ্চভুতের ঘাটে খেলিতেছে নিরঞ্জন
চৌদ্দতালার উপরে দালান তার ভিতরে ফুলের বাগান।
লাইলী আর মজনু দেওয়ান সুখেই করেছে আসন।।
দুই ধারে দুই কঠরা হায়াৎ মউত মাঝখানে ভরা
সময় থাকতে খুঁজরে তোরা নিকটেতে কাল সময়
সোনার পুরী আন্ধার করে যেদিন পাখি যাবে উড়ে।
শূন্য খাঁচা থাকবে পড়ে কে করবে আর তার যতন।।
তালাশে খালাশ মেলে তালাশ করো রংমহলে
উঠিয়া হাবলঙের পুলে চেয়ে থাকো সর্বক্ষন
দেখিবে হাবলঙের পুলে দুই দিকেতে অগ্নি জ্বলে
ভেবে রশীদ উদ্দিন বলে চমকিছে স্বর্ণের মতন।।",বেদনা
কালো উদ্বেগ,Uncategorized,"নগরের নির্বাণ নিস্তব্ধতায়
অস্পষ্ট স্মৃতির অজীর্ণতা
মধ্যহ্নের তারাগুলো হেটে যায়
রয় শরীরের অবিভাজ্য অশিষ্টতা
সন্ধার অন্ধকার জানালাটায়
দিয়ে যায় অংশীদারী আন্তরিকতা
কোলাহল সব শুনে দুরে পালায়
শুনে অন্তর্নিহিত অপভাষা
কালো ঘোরার ক্ষুরের আঘাত
গেথে গেছে তোমার ছায়ায়
কালো মেঘে ধোয়া রোদ
তোমার দরজায় এসে দারায়
তোমার ছায়া তোমায় দেখে
দুরে কোথাও হারায়
কালো সেই শকুন দুটো
দেখো ঘুরছে চোখের তারায়",বেদনা 
কেউ কাঁদবেনা,Uncategorized,"আমাকে দুরে কোথাও নিয়ে চলো , যেখানে কেউ থাকবে না ।
তোমার নাম ধরে চিৎকার করলে কেউ অবাক হয়ে দেখবে না ।
তোমার চোখের ভিতর তাকালে আর কাওকে দেখব না । 
চোখদুটোর নগ্নতা বেড়ে চলেছে সীমাহীনভাবে , পাতাদুটো খেয়ে গেছে অনিদ্রায় ।
নিশ্বাসে শুধু মরা গন্ধ ভাসে , হয়ত ভিতরে ভিতরে সব পচে গলে গেছে হতাশায় ।
হারানোর অজীর্ণ জলাবর্ত কল্পনায় ,  ডুবে হয় এক জনম পরিত্যক্ত জলাশয় । 
আমাকে দুরে কোথাও নিয়ে চলো ,
যেখানে কেউ কাঁদবে না ।
তোমার ঠোটে ঠোট রাখলে আর ঘড়ির কাটা ঘুরবে না ।
কালো মেঘের ছায়ার নাগালে তুমি আমি আর থাকব না ।",বেদনা
মুক্তি পাবে,আধুনিক,"এমনি কোন এক ভেজা
রাতের মাঝখানে
এই চূর্ণ দেহখানি মুক্তি পাবে,
তোমার খোঁজে বেরিয়ে পরা
আত্মার কাছ থেকে
এই ঝলসানো মনের কাছ থেকে।
বিভ্রান্তির স্তম্ভে দাড়িয়ে তোমায়
দেখেছি উচ্ছাসিত আসক্তিতে,
বিদ্বেষী কোন এক কন্টক শয্যায়
ডুবেছিলে পরিত্যাক্ত শ্বৈরাতন্ত্রে।
এমনি কোন এক ভেজা
রাতের মাঝখানে
এই চূর্ণ দেহখানি মুক্তি পাবে
মুক্তি পাবে
মুক্তি পাবে
মুক্তি পাবে
মুক্তি পাবে", বেদনা
Ai Ami,ব্যান্ড,"কোনো ছেকরা গাড়ির তলায় পিষে
রাস্তার মাঝখানে
মরে থাকতে চাইনে
এই আমি।
বনের রাজা হয়েও
ননীর পুতুল হয়ে সার্কাসে
পড়ে থাকতে চাইনে
এই আমি।
ডানা মেলে গগনে
উড়ে বেড়ানোর সাধ্য নিয়ে
বন্দি পাখি হয়ে
থাকতে চাইনে
এই আমি।
এই আমি আর ঐ আমি
তফাতটা অনেক খানি।
এই আমি আর ঐ আমি
অনেক বদলে গেছি।
কোনো পাতাহীন গাছের ডালে
ছিড়ে ঘুড়ি বালকের
চোখে হতাশার কারন হতে চাইনে
এই আমি ।
কোনো পাতাহীন গাছের ডালে
ছিড়ে ঘুড়ি বালকের
চোখে হতাশার কারন হতে চাইনে
এই আমি ।
এই আমি আর ঐ আমি
তফাতটা অনেক খানি।
এই আমি আর ঐ আমি
অনেক বদলে গেছি।
কোনো ছেকরা গাড়ির তলায় পিষে
রাস্তার মাঝখানে
মরে থাকতে চাইনে
এই আমি।",বেদনা
মাকে ভালোবাসি আমি মা যে আমার প্রাণ,জীবনমুখী গান,"মাকে ভালোবাসি আমি মা যে আমার প্রাণ
তাকে ভালো রেখো তুমি, আল্লাহ মেহেরবান (২ বার)
মা গো,
তোমার জন্যে নিত্য দিনই চোখে আসে বান (২বার)
রাত দুপুরে যখন ফিরি আমার ছোট্ট ঘরে
তুমি বিনে শূণ্য হৃদয় কেমন জানি করে (২ বার)
আমার জন্যে আজও কি মা কাদে তোমার প্রাণ
ঐ
দুঃখ শোকে কাজের ফাঁকে তোমায় মনে পরে
দুই নয়নের প্রান্ত জুড়ে অশ্র“ শুধুই ঝরে (২বার)
তোমার জন্যে আজও লিখি নতুন সুরের গান
ঐ",বেদনা
"কতো শপ্ন দেখেছি,",আধুনিক,"কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
সবই তোমায় নিয়ে, সব ই তোমায় নিয়ে ২
কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
সব ই তোমায় নিয়ে, সব ই তোমায় নিয়ে ২
তুমি আমার জীবনে ফুটা ফুল,
ভালোবেসে করেছো আকুল।
তুমি আমার জীবনে ফুটা ফুল,
ভালোবেসে করেছো আকুল।
কতো পথ চলেছি, কতো শুখে ভেসেছি,
কতো তরী বেয়েছি আমি তোমায় নিয়ে।
সব ই তোমায় নিয়ে, সব ই তোমায় নিয়ে ৪
কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
শুধু তোমার ঐ রিদয় ও ছায়ায়,
অনুরাগে ভাবে ভাসায়।
শুধু তোমার ঐ রিদয় ও ছায়ায়,
অনুরাগে ভাবে ভাসায়।
কতো কাছে এসেছি কতো চেয়ে থেকেছি,
কতো মগ্ন রয়েছি আমি তোমায় নিয়ে।
সব ই তোমায় নিয়ে, সব ই তোমায় নিয়ে ৪
কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
তুমি আমার বুকের ঝর্না হয়ে,
সব ব্যাথা দিয়েছো ধুয়ে।
তুমি আমার বুকের ঝর্না হয়ে,
সব ব্যাথা দিয়েছো ধুয়ে।
কতো ভুল করেছি কতো দু:খ সয়েছি,
কতো মালা গেথেছি আমি তোমায় নিয়ে।
সব ই তোমায় নিয়ে, সব ই তোমায় নিয়ে ৪
কতো শপ্ন দেখেছি কতো ছবি একেছি,
কতো গান গেয়েছি আমি তোমায় নিয়ে।
সবই তোমায় নিয়ে, সব ই তোমায় নিয়ে ২",বেদনা
,,,
অনুভবে আছো তুমি …..,Uncategorized,"অনুভবে আছো তুমি হৃদয় গভীরে
রাতদিন ভাবনায় খাটে তোমার পরশে,,
তুমি আমার ভালোবাসা ফুলের মুকুল
তুমি আমার প্রেম সাধনার পুতুল,,,,
ও…
ভালবাসার ফুলদানিতে দুটি হৃদয় এক হয়েছে
মাতাল হাওয়ায় মধূ বনে
মিলনের সুর বাজে গো মনে মনে
দুটি হৃদয়ের কোনযৌবনে কাজল আঁখির পরশ মিলেছে,,,
ও…
প্রেম কুমারী “তাসলিমা”
মিটিয়ে দাও গো আমার প্রেম পিপাসা
আসায় থাকি আমি “লিয়ন” পাইতে দর্শন
আমায় ছেড়ে কবু তুমি দূরে যেওনা…", আনন্দ
ভন্ড প্রেম,বাউল,"ভন্ড প্রেমের ভন্ডামিতে ভাংলি কেন মন,,,,,,,,,,,,,।।
কোন পাপেতে কোন দোষেতে করলি রে এমন,,,,,,,,,,।।
তোর কথাতে ভিক্তি করে দিয়েছিলাম মন
তার জবাবে দিলি আমায় প্রেমও জ্বালাতন,,,,,,,,,,,,
কোন পাপেতে কোন,,,,,,,,,
ভাংবি যদি মনটা আমার কেন বাধলি ঘর মিছা মিছি প্রেম করিবার ছিলো কী প্রয়োজন,,,,,,,,,,,,
কোন পাপেতে কোন,,,,,,,,,
বি এম রাজে কয় ভাবিয়া শুনরে পাগল মন প্রেম করিস না ভন্ডের সাথে করবি গুরুর শন,,,,,,,,,,,,,,
 কোন পাপেতে কোন,,,,,,,,,,
ভন্ড প্রেমের ভন্ডামিতে ভাংলি কেন মন,,,,,,,,",বেদনা
Sajna || সাজন || Lyrics,আধুনিক,"সাজনা এই দু চোখে চেয়ে দেখ না
আমি লুকিয়ে রেখেছি যতন করে সেই  তোমার দেয়া স্মৃতি আক্রে ধরে রেখে সারাক্ষণ তুমি কোথায় বল না
সাজনা এই দু চোখে চেয়ে দেখ না
আমারি মনেতে তোমারি ছায়া যে খেলা করে রাত্তি দুপুর
তোমারি ভাবনায় মিশে যে থাকে আমার সারা দুপুর
তবু কেন তোমায় পাশে পাই না
সাজনা এই দু চোখে চেয়ে দেখ না
স্বপ্নগুলো নিঝুম অরণ্য আর এ বিছিন্ন মন
তোমারি ভাবনায় আকাশ সম ব্যাথাগুলো করে বিচরন
তবু কেন আমায় তুমি বোঝনা
এ জীবন তুমি ছাড়া শূন্য হায়
সাজনা এই দু চোখে চেয়ে দেখ না",বেদনা
Megher Niche|| মেঘের নিচে || Lyrics,আধুনিক,"মেঘের নিচে ঢেকে থাকা নীল আলোড়ন ,
 অস্থির চিত্তে গেয়ে যাওয়া প্রকৃতির গান,
 আঙ্গুল ছুঁয়ে যাওয়া বৃষ্টির জল
 অনুভূতির ছোঁয়ায় পাওয়া অসীম স্বপ্নের দল
 তুমি কি আর এসব ভাবনায় হারাও আনমনে
 হারাও কি আর আগেরই মতো
 চোখেরই নরম জলে
বালিশ চেপে বোবা কান্না কাঁদায় আমায় শুধু
একাকীত্বের বোবা বেদনা ভাবায় আমায় শুধু
স্মৃতিগুলো ঘিরে থাকে আমাকে
আর বৃষ্টি নামায়
মনের মাঝে না বলা কথা গুলো
আমায় ভাবায়
 তুমি কি আর এসব ভাবনায় হারাও আনমনে
 হারাও কি আর আগেরই মতো
 চোখেরই নরম জলে",বেদনা
"বিদায় দাও গো বন্দু তোমরা,",ছায়াছবি,"বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়।
মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়।
বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
স্রোতের শেওলা যামন ভাশে,
ভাসলাম আমি তেমন করে এই ভবের পরবাসে।
স্রোতের শেওলা যামন ভাশে,
ভাসলাম আমি তেমন করে এই ভবের পরবাসে।
কুলের দিশা তবু পেলাম নাতো কভু,
কুলের দিশা তবু পেলাম নাতো কভু,
সেথা ঘরে ঘরে গুরতেছি তবু,
পেলাম নাতো ঠাই,পেলাম নাতো ঠাই।
বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়।
বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়,
স্নেহ মায়ার কাঙ্গাল হয়ে, দারে দারে ফিরলাম কত,
এই অবুজ মন্টারে লয়ে।
স্নেহ মায়ার কাঙ্গাল হয়ে, দারে দারে ফিরলাম কত,
এই অবুজ মন্টারে লয়ে। 
এই বুজেছি শ্বার মিছে এ সংসার,
এই বুজেছি শ্বার মিছে এ সংসার,
হেথায় আপন বলে মানতে পারি,
এমন কেহ নাইরে, এমন কেহ নাই,
এমন কেহ নাই—-",বেদনা
"মনটা ছিলো পথে পড়ে,",ছায়াছবি,"মনটা ছিলো পথে পড়ে, বুকে ছিলো ব্যাথার ঢল,
সঙ্গে ছিলো তোমার চিঠি, বন্দু ছিলো আঁখিজল।
মনটা ছিলো পথে পড়ে, বুকে ছিলো ব্যাথার ঢল,
সঙ্গে ছিলো তোমার চিঠি, বন্দু ছিলো আঁখিজল। 
তুমি আছো আর কিছু চাই না না গো,
তুমি আছ আর কিছু চাই না।
যে চোখে শ্রাবণ ছিলো, সে চোখে স্বপন আজ,
যে বুকে আগুন ছিলো, সে বুকে ফাগুন আজ।
যে চোখে শ্রাবণ ছিলো, সে চোখে স্বপন আজ,
যে বুকে আগুন ছিলো, সে বুকে ফাগুন আজ। 
তোমাকে হারিয়েছি, তাইতো হারাই না,
তুমি আছো আর কিছু চাই না না গো,
তুমি আছো আর কিছু চাই না। 
যে আশা ভিদুর ছিলো, সে আশা মধুর আজ,
যে মুখে বাদল ছিলো, সে মুখে বধুর লাজ।
যে আশা ভিদুর ছিলো, সে আশা মধুর আজ,
যে মুখে বাদল ছিলো, সে মুখে বধুর লাজ। 
তোমাকে ফুরিয়ে গেছি, তাইতো ফুরাই না।
তুমি আছো আর কিছু চাই না, না গো
তুমি আছো আর কিছু চাই না। 
মনটা ছিলো পথে পড়ে, বুকে ছিলো ব্যাথার ঢল,
সঙ্গে ছিলো তোমার চিঠি, বন্দু ছিলো আঁখিজল।
তুমি আছো আর কিছু চাই না না গো,
তুমি আছ আর কিছু চাই না।",বেদনা
"ওগো রূপসী তোমারে ভালবেসেছি,",ছায়াছবি,"ওগো রূপসী তুমারে ভালবেসেছি আমি,
কাছে এসো দূরে সরে যেওনা,
কেন এতো রাগ বুজনা কি গো অনুরাগ,
তুমি, বলিতে যা চাই কেন শোনো না। 
দিতে পারি এনে ও রাঙ্গা চরনে,
আকাশের ও চাঁদ তারা সূর্য।
দিতে পারি এনে ও রাঙ্গা চরনে,
আকাশের ও চাঁদ তারা সূর্য।
হেলাতে সরিয়ে মরে দিও না,
ওগো রূপসী তুমারে ভালবেসেছি আমি,
কাছে এসো দূরে সরে যেও না।
রাতে নীদ হারা, দিনে দেখি তারা,
করেছো পাগল যে আমারে।
রাতে নীদ হারা, দিনে দেখি তারা,
করেছো পাগল যে  আমারে। 
কেন যে তবুও ধরা দাও না,
ওগো রূপসী তুমারে ভালবেসেছি আমি,
কাছে এসে দূরে সরে যেও না।
ওগো অভিমানী, তবু কি বুজো নি,
তুমারে বিনা মিছে সবই যে।
ওগো অভিমানী, তবু কি বুজো নি,
তুমারে বিনা মিছে সবই যে। 
একবার ফিরে কেন চাও না।
ওগো রূপসী তুমারে ভালবেসেছি আমি,
কাছে এসো দূরে সরে যেও না,
কেন এতো রাগ বুজনা কি গো অনুরাগ,
তুমি, বলিতে যা চাই কেন শোনো না।
ওগো রূপসী তুমারে ভালবেসেছি আমি,
কাছে এসো দূরে সরে যেও না,", আনন্দ
"তুমি কাছে এসো বন্দু,",ছায়াছবি,"তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই,
আমি মনের মানুষ হতে চাই।
তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই,
আমি মনের মানুষ হতে চাই।  
আমার মনেরই আসা ওগো দাওনা মিটিয়ে,
ধন্য করো আমারে প্রেমের পরশ দিয়ে।
তোমার চলার পথে সাথী হতে যে চাই,
আমি মনের মানুষ হতে চাই।
তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই,
আমি মনের মানুষ হতে চাই। 
আমায় একাকি ফেলে দূরে যেওনা চলে,
দুঃখ নিয়ে জীবনে ভাসি চোখেরই জলে।
ভেঙ্গে পায়েরই শিকল হারিয়ে যেতে যে চাই,
আমি মনের মানুষ হতে চাই।
তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই,
আমি মনের মানুষ হতে চাই।
তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই,
আমি মনের মানুষ হতে চাই।",আনন্দ
"শহর থেকে দূরে,",ছায়াছবি,"শহর থেকে দূরে বহু দূরে-
এই মন আমার হারিয়ে গেলো,
যেন রূপ কথারই দেশে। 
শহর থেকে দূরে বহু দূরে-
এই মন আমার হারিয়ে গেলো,
যেন রূপ কথারই দেশে।
শহর থেকে দূরে বহু দূরে-
এখানে সুরের মেলা পাপীয়া দোয়েল এর গানে,
এখানে সুরের মেলা পাপীয়া দোয়েল এর গানে,
আলো আর ছায়ার লূকচুরী স্বপ্ন ছড়ায় প্রানে,
ঐ দূর বলাকার পাখায়, এই মন চলেছে ভেশে।
শহর থেকে দূরে বহু দূরে-
এই মন আমার হারিয়ে গেলো,
যেন রূপ কথারই দেশে।
শহর থেকে দূরে বহু দূরে-
এখানে দীঘির ও জলে হংস মিথুনের খেলা,
এখানে দীঘির ও জলে হংস মিথুনের খেলা,
বকুল এর গন্ধে মাতাল হাওয়া তুস্তূ সারা বেলা,
দূর আমলক্ষির ও বনে বাতাস ঘুমায় আভেশে।
শহর থেকে দূরে বহু দূরে-
এই মন আমার হারিয়ে গেলো,
যেন রূপ কথারই দেশে।
শহর থেকে দূরে বহু দূরে—",আনন্দ
